Category,Name,Url
Welterweight,George Sullivan,/fighter/george-Sullivan
Welterweight,Nordine Taleb,/fighter/nordine-taleb
Welterweight,Stephen Thompson,/fighter/stephen-Thompson
Welterweight,Darren Till,/fighter/darren-till
Welterweight,. To Be Determined,/fighter/to-Be-Determined
Welterweight,Salim Touahri,/fighter/salim-Touahri
Welterweight,Kamaru Usman,/fighter/kamarudeen-usman
Welterweight,Bojan Velickovic,/fighter/bojan-velickovic
Welterweight,Jimmy Wallhead,/fighter/jim-wallhead
Welterweight,Charlie Ward,/fighter/charlie-ward
Welterweight,Sheldon Westcott,/fighter/sheldon-westcott
Welterweight,Tyron Woodley,/fighter/tyron-Woodley
Welterweight,Alexander Yakovlev,/fighter/alexander-Yakovlev
Welterweight,Elizeu Zaleski dos...,/fighter/elizeu-zaleski-dos-santos
Middleweight,Sam Alvey,/fighter/sam-Alvey
Middleweight,Eryk Anders,/fighter/eryk-Anders
Middleweight,Abu Azaitar,/fighter/abu-Azaitar
Middleweight,Oluwale Bamgbose,/fighter/oluwale-bamgbose
Middleweight,Vitor Belfort,/fighter/vitor-Belfort
Middleweight,Keith Berish,/fighter/keith-Berish
Middleweight,Michael Bisping,/fighter/michael-Bisping
Middleweight,Tim Boetsch,/fighter/tim-Boetsch
Middleweight,David Branch,/fighter/dave-Branch
Middleweight,Derek Brunson,/fighter/derek-Brunson
Middleweight,Charles Byrd,/fighter/charles-Byrd
Middleweight,Chris Camozzi,/fighter/chris-Camozzi
Middleweight,Antonio Carlos Jun...,/fighter/antonio-carlos
Middleweight,Magnus Cedenblad,/fighter/magnus-Cedenblad
Middleweight,Gabriel Checco,/fighter/gabriel-Checco
Middleweight,Paulo Costa,/fighter/paulo-henrique-costa
Middleweight,Alessio Di Chirico,/fighter/alessio-di-chirico
Middleweight,Nick Diaz,/fighter/nick-Diaz
Middleweight,Ramazan Emeev,/fighter/ramazan-Emeev
Middleweight,Rashad Evans,/fighter/rashad-Evans
Middleweight,Cezar Ferreira,/fighter/cezar-Ferreira
Middleweight,Kelvin Gastelum,/fighter/kelvin-Gastelum
Middleweight,Marcelo Guimaraes,/fighter/marcelo-Guimaraes
Middleweight,Uriah Hall,/fighter/uriah-Hall
Middleweight,Phillip Hawes,/fighter/phillip-Hawes
Middleweight,Johny Hendricks,/fighter/johny-Hendricks
Middleweight,Jack Hermansson,/fighter/jack-hermansson
Middleweight,Ryan Janes,/fighter/ryan-janes
Middleweight,Justin Jones,/fighter/justin-Jones
Middleweight,Krzysztof Jotko,/fighter/krzysztof-Jotko
Middleweight,Daniel Kelly,/fighter/dan-Kelly
Middleweight,Thales Leites,/fighter/thales-Leites
Middleweight,Bevon Lewis,/fighter/bevon-Lewis
Middleweight,Lyoto Machida,/fighter/lyoto-Machida
Middleweight,Nate Marquardt,/fighter/nate-Marquardt
Middleweight,Julian Marquez,/fighter/julian-Marquez
Middleweight,Jack Marshman,/fighter/jack-harshman
Middleweight,Gerald Meerschaert,/fighter/gerald-meerschaert
Middleweight,Vitor Miranda,/fighter/vitor-miranda
Middleweight,Rafael Natal,/fighter/rafael-natal
Middleweight,Geoff Neal,/fighter/geoff-Neal
Middleweight,Antonio Braga Neto,/fighter/antonio-Braga-Neto
Middleweight,Alex Nicholson,/fighter/alex-nicholson
Middleweight,Markus Perez,/fighter/markus-Perez
Middleweight,Jamie Pickett,/fighter/jamie-Pickett
Middleweight,Oskar Piechota,/fighter/oskar-Piechota
Middleweight,Karl Roberson,/fighter/karl-Roberson
Middleweight,Luke Rockhold,/fighter/luke-Rockhold
Middleweight,Yoel Romero,/fighter/yoel-Romero
Middleweight,Josh Samman,/fighter/josh-Samman
Middleweight,Andrew Sanchez,/fighter/andrew-sanchez
Middleweight,Thiago Santos,/fighter/thiago-Santos
Middleweight,Bradley Scott,/fighter/brad-scott
Middleweight,Anderson Silva,/fighter/anderson-Silva
Middleweight,Anthony Smith,/fighter/anthony-Smith
Middleweight,Trevor Smith,/fighter/trevor-Smith
Middleweight,Ronaldo Souza,/fighter/ronaldo-Souza
Middleweight,Eric Spicely,/fighter/eric-spicely
Middleweight,Georges St-Pierre,/fighter/georges-St-Pierre
Middleweight,Darren Stewart,/fighter/darren-Stewart
Middleweight,Brad Tavares,/fighter/brad-Tavares
Middleweight,Jesse Taylor,/fighter/jesse-Taylor
Middleweight,Elias Theodorou,/fighter/elias-theodorou
Middleweight,Alberto Uda,/fighter/alberto-uda
Middleweight,Marvin Vettori,/fighter/marvin-vettori
Middleweight,Chase Waldon,/fighter/chase-Waldon
Middleweight,Randall Wallace,/fighter/randall-Wallace
Middleweight,Chris Weidman,/fighter/chris-Weidman
Middleweight,Robert Whittaker,/fighter/robert-whittaker
Middleweight,Rob Wilkinson,/fighter/rob-Wilkinson
Middleweight,Jonathan Wilson,/fighter/jonathan-wilson
Light_Heavyweight,Corey Anderson,/fighter/corey-anderson
Light_Heavyweight,Gadzhimurad Antigu...,/fighter/gadzhimurad-Antigulov
Light_Heavyweight,Francimar Barroso,/fighter/francimar-Barroso
Light_Heavyweight,Anton Berzin,/fighter/anton-berzin
Light_Heavyweight,Jan Blachowicz,/fighter/jan-Blachowicz
Light_Heavyweight,James Bochnovic,/fighter/james-Bochnovic
Light_Heavyweight,Steve Bosse,/fighter/steve-Bosse
Light_Heavyweight,Jared Cannonier,/fighter/jared-cannonier
Light_Heavyweight,Joachim Christensen,/fighter/joachim-christensen
Light_Heavyweight,Misha Cirkunov,/fighter/misha-cirkunov
Light_Heavyweight,Devin Clark,/fighter/devin-clark
Light_Heavyweight,Jake Collier,/fighter/jake-collier
Light_Heavyweight,Daniel Cormier,/fighter/daniel-Cormier
Light_Heavyweight,Paul Craig,/fighter/paul-craig
Light_Heavyweight,Patrick Cummins,/fighter/patrick-Cummins
Light_Heavyweight,Ion Cutelaba,/fighter/ion-cutelaba
Light_Heavyweight,Henrique da Silva,/fighter/luiz-henrique-da-silva
Light_Heavyweight,Angel De Anda,/fighter/angel-De-Anda
Light_Heavyweight,Marcos Rogerio De ...,/fighter/marcus-rogerio-de-lima
Light_Heavyweight,CB Dollaway,/fighter/CB-Dollaway
Light_Heavyweight,Abdul-Kerim Edilov,/fighter/abdul-kerim-edilov
Light_Heavyweight,Marcel Fortuna,/fighter/marcel-Fortuna
Light_Heavyweight,Trevin Giles,/fighter/trevin-Giles
Light_Heavyweight,Alexander Gustafss...,/fighter/alexander-Gustafsson
Light_Heavyweight,Ed Herman,/fighter/ed-Herman
Light_Heavyweight,Jordan Johnson,/fighter/jordan-Johnson
